name,email,phone,ssn,address,dob,credit_card,salary,age
Allison Hill,jillrhodes@miller.com,890.838.6379,285-01-2616,"2351 Noah Knolls Suite 940, Herrerafurt, OH 38928",1997-04-12,3593103413164756,106731.22,19
Henry Santiago,amandasanchez@gray-mayo.net,503.056.4139,898-92-5156,"7242 Julie Plain Suite 969, Coxberg, NM 12416",2005-12-07,502022691666,118986.06,33
Julie King,maldonadoamanda@mack-peterson.com,(270)482-8148x93252,553-68-0010,"15430 Natalie Common Apt. 718, East Donna, GA 35242",1990-05-30,3538346578713317,56785.29,65
Kevin Hall,jonescrystal@jones.com,834-738-2997,249-61-6670,"656 Owens Stream, Lake Deniseville, MO 95949",1977-08-04,2243387262473170,42299.42,65
Savannah Garcia,housemelinda@russell.com,(026)064-7468x7234,223-08-9490,"500 Shaw Walk, North Susan, HI 09482",1994-12-29,2246193990916994,137061.55,23
Taylor Harris,josephanderson@hotmail.com,751-079-9118x3842,358-09-4003,"8498 Elizabeth Plaza, Sarahville, DC 35165",1962-05-10,2702449353487404,100859.1,20
Jeff Hill,kellie42@ramos.com,280-598-2620,316-47-0654,"PSC 3315, Box 8692, APO AE 21800",1966-07-20,6011256342160738,33575.67,31
Thomas Bailey,andrewlee@ramirez-jones.com,(868)501-4294x019,445-45-5140,"9340 Smith Valley, West Ryan, MA 82179",1975-11-12,4484656482366297,57919.31,56
Jennifer Bass,jason99@hotmail.com,777-387-2148x95134,231-26-2415,"9176 Jennifer Lights, Rossberg, UT 01227",2005-08-09,2332870831727889,33184.32,30
Tiffany Vance,vmerritt@yahoo.com,434.873.4714x345,328-70-1321,"2316 Rivera Mountain, Brownchester, WI 77057",2001-10-31,639096705467,115922.35,62
Tiffany Barnes,brobinson@johnson-rogers.biz,001-272-980-6990x1627,187-07-4263,"5564 King Common, Smithside, MI 29890",1998-09-29,5203309232719376,95392.98,32
Pamela Jackson,tamirodriguez@hickman.biz,(319)314-9190x5865,071-65-5591,"1657 Ryan Street Suite 987, Grahamshire, MD 32678",1960-05-26,4379965075273545490,83905.09,35
Desiree Smith,allenrichard@chang.info,014.363.4957x885,436-96-9018,"4431 Leslie Summit Apt. 337, Jennyhaven, LA 13677",1967-09-17,4524082400842710947,127131.65,18
